# vision_rec team=blue id=15 addr=224.5.23.2:10006
arrival_mono_ns,t_capture_s,t_sent_s,camera,x_mm,y_mm,theta_rad,confidence
23519399361937,1790087498.577375,1790087498.581569,0,-609.70,430.32,-1.26563,0.800
23519399367664,1790087498.585855,1790087498.590222,0,-609.98,430.78,-1.27269,0.778
23519399373445,1790087498.594339,1790087498.598790,0,-610.11,430.71,-1.27402,0.783
23519598508023,1790087498.704133,1790087498.708008,0,-609.37,430.50,-1.26536,0.801
23519598563198,1790087498.712554,1790087498.716391,0,-609.88,430.72,-1.27089,0.786
23519598571349,1790087498.721049,1790087498.725272,0,-609.83,430.83,-1.26934,0.779
23519598576903,1790087498.729460,1790087498.733350,0,-609.52,430.67,-1.26784,0.816
23519598582779,1790087498.737927,1790087498.742091,0,-609.30,430.48,-1.26722,0.822
23519598588566,1790087498.746361,1790087498.750334,0,-609.96,430.63,-1.27492,0.767
23519598608097,1790087498.754742,1790087498.758751,0,-609.28,430.39,-1.26278,0.809
23519598613543,1790087498.763243,1790087498.767216,0,-609.71,430.61,-1.27014,0.797
23519598618997,1790087498.771710,1790087498.775741,0,-609.41,430.14,-1.25885,0.831
23519598624107,1790087498.780143,1790087498.784094,0,-609.66,430.50,-1.26630,0.790
23519598630564,1790087498.788624,1790087498.794998,0,-609.47,430.27,-1.26044,0.819
23519598637132,1790087498.797208,1790087498.801260,0,-609.59,430.19,-1.26412,0.831
23519807327657,1790087498.906888,1790087498.910951,0,-609.98,430.62,-1.27201,0.774
23519807387964,1790087498.915360,1790087498.919439,0,-609.13,431.27,-1.27143,0.821
23519807397212,1790087498.924144,1790087498.929240,0,-609.56,430.32,-1.26698,0.827
23519807404344,1790087498.932302,1790087498.936451,0,-609.78,430.82,-1.27071,0.780
23519807410344,1790087498.940691,1790087498.944797,0,-610.06,430.57,-1.26970,0.781
23519807429648,1790087498.949136,1790087498.953038,0,-609.80,430.44,-1.26929,0.796
23519807435739,1790087498.957779,1790087498.962783,0,-609.29,430.40,-1.26145,0.840
23519807441984,1790087498.966035,1790087498.970347,0,-609.57,430.59,-1.27246,0.809
23519807448237,1790087498.974470,1790087498.978579,0,-609.72,430.56,-1.26972,0.790
23519807454152,1790087498.982949,1790087498.987131,0,-609.32,430.30,-1.26229,0.808
23519807459756,1790087498.991478,1790087498.996216,0,-609.39,430.39,-1.26202,0.823
23519807465448,1790087498.999849,1790087499.003742,0,-609.45,430.32,-1.26331,0.791
23520008022998,1790087499.118125,1790087499.122364,0,-609.74,430.65,-1.27241,0.801
23520008080963,1790087499.126602,1790087499.131412,0,-610.04,430.78,-1.27373,0.781
23520008091268,1790087499.135029,1790087499.138986,0,-609.94,430.72,-1.27217,0.784
23520008099148,1790087499.143475,1790087499.147677,0,-609.95,430.80,-1.27466,0.769
23520008124472,1790087499.151936,1790087499.155904,0,-609.85,430.72,-1.27252,0.792
23520008131333,1790087499.160442,1790087499.164738,0,-609.97,430.57,-1.27166,0.779
23520008138103,1790087499.168758,1790087499.172907,0,-609.21,431.24,-1.27176,0.801
23520008151675,1790087499.177321,1790087499.182548,0,-609.52,430.63,-1.26630,0.796
23520008157958,1790087499.185639,1790087499.189973,0,-609.66,430.42,-1.26450,0.800
23520008163869,1790087499.194244,1790087499.198535,0,-609.52,431.22,-1.27659,0.804
23520008169922,1790087499.202545,1790087499.206634,0,-609.26,431.44,-1.27759,0.809
23520216902659,1790087499.320893,1790087499.325035,0,-609.39,430.42,-1.26323,0.814
23520423152459,1790087499.540559,1790087499.545178,0,-609.90,426.31,-1.26671,0.785
23520423214442,1790087499.548987,1790087499.552840,0,-609.58,426.26,-1.26814,0.789
23520423472246,1790087499.557421,1790087499.564242,0,-610.15,425.55,-1.28586,0.866
23520423478746,1790087499.566290,1790087499.570488,0,-610.02,425.59,-1.27514,0.904
23520423484842,1790087499.574391,1790087499.578518,0,-609.62,424.94,-1.26705,0.895
23520423523366,1790087499.582811,1790087499.586903,0,-609.55,423.95,-1.26534,0.880
23520423529494,1790087499.591247,1790087499.597823,0,-609.17,423.26,-1.25973,0.868
23520423534752,1790087499.600037,1790087499.604417,0,-608.93,422.63,-1.26017,0.863
23520423540214,1790087499.608240,1790087499.612235,0,-608.35,422.22,-1.26555,0.855
23520622718001,1790087499.734895,1790087499.739152,0,-601.52,400.15,-1.28167,0.856
23520622783644,1790087499.743341,1790087499.747259,0,-601.61,397.95,-1.30246,0.853
23520622792511,1790087499.751822,1790087499.755797,0,-600.02,396.08,-1.30018,0.881
23520622798361,1790087499.760418,1790087499.765322,0,-599.75,393.78,-1.29312,0.903
23520622803993,1790087499.768699,1790087499.772724,0,-599.58,390.88,-1.31014,0.853
23520622810138,1790087499.777138,1790087499.781226,0,-598.57,389.39,-1.30571,0.894
23520622815756,1790087499.794218,1790087499.798812,0,-595.56,384.42,-1.32160,0.847
23520622843027,1790087499.802445,1790087499.806394,0,-595.26,382.82,-1.33267,0.925
23520622854381,1790087499.811013,1790087499.815085,0,-594.43,379.10,-1.31448,0.938
23520622860288,1790087499.819662,1790087499.823835,0,-592.78,377.29,-1.32059,0.915
23520723367828,1790087499.827931,1790087499.832671,0,-592.46,375.09,-1.32661,0.873
23520723439740,1790087499.836333,1790087499.840607,0,-591.62,371.44,-1.31517,0.910
23520723453851,1790087499.844742,1790087499.848809,0,-589.13,370.49,-1.30671,0.820
23520723463967,1790087499.853182,1790087499.857360,0,-587.35,367.18,-1.29764,0.868
23520723472516,1790087499.861728,1790087499.865666,0,-586.39,364.78,-1.30161,0.886
23520723481428,1790087499.870100,1790087499.873978,0,-585.71,362.13,-1.29867,0.890
23520723489791,1790087499.878527,1790087499.882385,0,-583.99,358.73,-1.31999,0.911
23520723498248,1790087499.886967,1790087499.890920,0,-581.82,357.85,-1.31203,0.943
23520723506364,1790087499.895556,1790087499.899544,0,-579.87,354.56,-1.28206,0.907
23520723514768,1790087499.903867,1790087499.907858,0,-579.17,351.14,-1.30431,0.880
23520723522621,1790087499.912319,1790087499.916213,0,-576.95,348.78,-1.29250,0.859
23520723530983,1790087499.920763,1790087499.924632,0,-574.68,347.27,-1.28358,0.844
23520819453671,1790087499.929373,1790087499.933483,0,-573.40,344.21,-1.28202,0.889
23520829298039,1790087499.937617,1790087499.941590,0,-571.77,341.34,-1.27574,0.880
23520829341555,1790087499.946131,1790087499.950414,0,-570.80,338.09,-1.27968,0.900
23520829351216,1790087499.954570,1790087499.958454,0,-567.86,335.31,-1.25686,0.895
23520829357928,1790087499.963136,1790087499.967032,0,-566.15,333.10,-1.26907,0.908
23520829364132,1790087499.971468,1790087499.975802,0,-565.05,331.07,-1.26663,0.930
23520829370130,1790087499.979977,1790087499.983766,0,-562.55,328.11,-1.24763,0.926
23520829391792,1790087499.988389,1790087499.992500,0,-560.42,326.44,-1.25018,0.909
23520829398497,1790087499.996910,1790087500.000737,0,-559.37,323.62,-1.24769,0.918
23520829413967,1790087500.005320,1790087500.009168,0,-556.58,321.02,-1.24300,0.937
23520829419792,1790087500.013756,1790087500.017647,0,-554.36,318.90,-1.24007,0.869
23520829425152,1790087500.022235,1790087500.026198,0,-552.08,316.09,-1.22457,0.897
23521023916192,1790087500.140455,1790087500.144344,0,-519.67,289.65,-1.19431,0.930
23521032925603,1790087500.149021,1790087500.153127,0,-517.39,288.50,-1.18309,0.857
23521032968374,1790087500.157373,1790087500.161486,0,-514.23,287.17,-1.18398,0.905
23521032983317,1790087500.165783,1790087500.169660,0,-512.22,284.30,-1.18610,0.931
23521032993276,1790087500.174279,1790087500.178249,0,-508.72,282.94,-1.19092,0.958
23521033045847,1790087500.182718,1790087500.186739,0,-505.72,281.20,-1.18815,0.941
23521033054787,1790087500.191135,1790087500.195285,0,-503.20,280.01,-1.17794,0.933
23521033060185,1790087500.199607,1790087500.203582,0,-499.79,278.79,-1.17764,0.936
23521033066858,1790087500.208087,1790087500.212236,0,-498.06,276.44,-1.18642,0.948
23521033072346,1790087500.216487,1790087500.220651,0,-493.64,275.99,-1.18300,0.963
23521033077707,1790087500.224973,1790087500.229086,0,-491.75,274.02,-1.17149,0.963
23521033082887,1790087500.233368,1790087500.237394,0,-487.38,273.36,-1.17449,0.935
23521240996749,1790087500.343275,1790087500.347279,0,-443.58,255.07,-1.26729,0.962
23521241075019,1790087500.351714,1790087500.355685,0,-438.93,254.10,-1.26542,0.942
23521241086815,1790087500.360147,1790087500.366218,0,-436.07,253.07,-1.27657,0.950
23521241096892,1790087500.368556,1790087500.372530,0,-432.17,252.10,-1.27985,0.956
23521241120249,1790087500.385497,1790087500.389734,0,-425.26,249.71,-1.29998,0.913
23521241130782,1790087500.393977,1790087500.400328,0,-421.56,248.82,-1.31165,0.924
23521241138781,1790087500.402459,1790087500.406407,0,-418.48,247.73,-1.31393,0.905
23521241147825,1790087500.410863,1790087500.415012,0,-414.71,245.84,-1.32079,0.944
23521241156043,1790087500.420097,1790087500.424341,0,-411.33,243.49,-1.32091,0.963
23521241165142,1790087500.427752,1790087500.434241,0,-407.83,242.98,-1.33039,0.955
23521241172457,1790087500.436215,1790087500.440448,0,-404.28,241.75,-1.33519,0.936
23521446625507,1790087500.622152,1790087500.626230,0,-326.07,226.79,-1.26320,0.980
23521446678692,1790087500.630630,1790087500.634663,0,-323.55,227.47,-1.24802,0.957
23521446686873,1790087500.638969,1790087500.643167,0,-320.69,227.81,-1.23508,0.978
23521446693181,1790087500.647420,1790087500.651618,0,-317.80,228.51,-1.21183,0.955
23521646705486,1790087500.850228,1790087500.854223,0,-256.42,264.13,-0.85527,0.952
23521855194979,1790087500.960054,1790087500.964184,0,-224.42,293.94,-1.02180,0.968
23521855282651,1790087500.968425,1790087500.972579,0,-222.32,296.72,-1.04506,0.967
23521855296166,1790087500.976927,1790087500.980880,0,-220.25,298.39,-1.06081,0.982
23521855312245,1790087500.985381,1790087500.989415,0,-216.61,300.89,-1.08448,0.978
23521855321129,1790087500.993833,1790087500.997934,0,-215.08,303.10,-1.10607,0.967
23521855342367,1790087501.002274,1790087501.006390,0,-211.64,305.75,-1.13320,0.984
23521855350646,1790087501.010741,1790087501.014756,0,-209.82,307.67,-1.14484,0.983
23521855359750,1790087501.019225,1790087501.024659,0,-207.61,309.97,-1.17015,0.968
23521855377054,1790087501.027646,1790087501.031992,0,-203.75,312.68,-1.16908,0.985
23521855385226,1790087501.036067,1790087501.040057,0,-201.85,314.60,-1.19527,0.968
23521855393165,1790087501.044500,1790087501.048521,0,-199.05,316.95,-1.22011,0.992
