# vision_rec team=blue id=15 addr=224.5.23.2:10006
arrival_mono_ns,t_capture_s,t_sent_s,camera,x_mm,y_mm,theta_rad,confidence
23495736861138,1790087474.894376,1790087474.898253,0,-473.46,429.60,-1.01181,0.887
23495736870523,1790087474.902808,1790087474.906788,0,-473.32,429.17,-1.02476,0.896
23495738231466,1790087474.911265,1790087474.915537,0,-473.09,429.28,-1.04944,0.932
23495738245146,1790087474.919755,1790087474.923692,0,-473.59,428.64,-1.07032,0.911
23495738252356,1790087474.928223,1790087474.932108,0,-473.63,428.00,-1.08628,0.880
23495739523137,1790087474.936622,1790087474.940572,0,-473.13,427.54,-1.11661,0.936
23495739560369,1790087474.945060,1790087474.949193,0,-472.87,427.58,-1.12235,0.939
23495835250407,1790087474.953480,1790087474.957642,0,-472.82,426.91,-1.13142,0.933
23495835300217,1790087474.961959,1790087474.965989,0,-472.92,426.26,-1.13532,0.918
23495837373577,1790087474.970385,1790087474.974331,0,-472.47,425.00,-1.13923,0.850
23495837406994,1790087474.978856,1790087474.982917,0,-471.75,424.34,-1.13577,0.915
23495837418177,1790087474.987296,1790087474.991160,0,-471.50,423.81,-1.12466,0.935
23495838480586,1790087474.995776,1790087474.999737,0,-470.56,423.23,-1.11189,0.931
23495838518891,1790087475.004212,1790087475.008230,0,-470.92,421.44,-1.10231,0.937
23495840579811,1790087475.012673,1790087475.017243,0,-469.62,420.26,-1.07954,0.923
23495840593616,1790087475.021083,1790087475.025116,0,-469.62,419.03,-1.07286,0.833
23495840600243,1790087475.029611,1790087475.033842,0,-468.80,418.36,-1.06119,0.863
23495840606818,1790087475.038001,1790087475.041974,0,-467.54,417.33,-1.02894,0.927
23495938431682,1790087475.046474,1790087475.050761,0,-467.00,416.47,-1.00715,0.931
23495938497873,1790087475.054898,1790087475.059358,0,-466.41,414.90,-1.00040,0.943
23495938507257,1790087475.063384,1790087475.067353,0,-466.09,411.51,-0.97825,0.938
23495940169432,1790087475.071799,1790087475.075871,0,-464.67,410.50,-0.96474,0.920
23495940213519,1790087475.080251,1790087475.084249,0,-463.89,408.38,-0.94329,0.853
23495940226601,1790087475.088688,1790087475.092708,0,-461.92,405.82,-0.92766,0.854
23495941940684,1790087475.097142,1790087475.101386,0,-460.15,404.85,-0.91201,0.963
23495941980038,1790087475.105584,1790087475.109525,0,-459.55,402.38,-0.89439,0.937
23495941993012,1790087475.114047,1790087475.118194,0,-458.71,399.17,-0.88300,0.960
23495943576131,1790087475.122459,1790087475.126610,0,-456.99,396.99,-0.87052,0.962
23495943612165,1790087475.130989,1790087475.135071,0,-455.51,395.02,-0.83799,0.957
23495943624052,1790087475.139377,1790087475.143420,0,-453.00,392.68,-0.83007,0.932
23495944674649,1790087475.147814,1790087475.152307,0,-451.61,389.94,-0.82632,0.943
