# vision_rec team=blue id=15 addr=224.5.23.2:10006
arrival_mono_ns,t_capture_s,t_sent_s,camera,x_mm,y_mm,theta_rad,confidence
23537007177803,1790087516.117805,1790087516.121894,0,-743.43,207.39,-1.11162,0.850
23537007204792,1790087516.126301,1790087516.130428,0,-744.91,204.57,-1.08958,0.850
23537007212318,1790087516.134744,1790087516.138679,0,-747.25,202.41,-1.07884,0.774
23537007219603,1790087516.143395,1790087516.147850,0,-748.82,200.17,-1.04605,0.891
23537007226124,1790087516.151613,1790087516.155508,0,-750.49,198.33,-1.02279,0.872
23537007251581,1790087516.160099,1790087516.163970,0,-753.05,195.99,-0.98335,0.815
23537007270524,1790087516.168539,1790087516.172507,0,-754.61,194.76,-0.97182,0.905
23537007277833,1790087516.177156,1790087516.181103,0,-756.02,192.17,-0.93151,0.888
23537007292406,1790087516.185417,1790087516.189481,0,-757.22,190.61,-0.91771,0.887
23537007299331,1790087516.193895,1790087516.198054,0,-759.55,189.06,-0.90865,0.866
23537007305747,1790087516.202349,1790087516.206291,0,-760.65,187.38,-0.87971,0.914
23537007312065,1790087516.210909,1790087516.214749,0,-762.27,184.89,-0.88013,0.874
23537205161476,1790087516.329093,1790087516.333532,0,-779.51,163.88,-1.04881,0.795
23537205218757,1790087516.337467,1790087516.341676,0,-780.42,163.32,-1.05929,0.804
23537205224705,1790087516.346066,1790087516.350368,0,-783.02,161.68,-1.09352,0.914
23537205229056,1790087516.354392,1790087516.358362,0,-783.72,160.72,-1.10040,0.912
23537215546735,1790087516.362887,1790087516.366962,0,-785.22,158.56,-1.11131,0.920
23537215570654,1790087516.371444,1790087516.375900,0,-787.14,156.53,-1.13797,0.820
23537215577451,1790087516.379738,1790087516.383715,0,-788.88,154.73,-1.16158,0.919
23537215597971,1790087516.388283,1790087516.392423,0,-790.44,153.56,-1.15505,0.846
23537215604061,1790087516.396678,1790087516.400709,0,-792.36,151.66,-1.16503,0.795
23537215610437,1790087516.405120,1790087516.409537,0,-793.56,149.43,-1.17125,0.755
